column	7_2009
testVal	0
testVal	2500
testVal	947
testVal	441
testVal	9507
testVal	3591
testVal	1830
testVal	289
testVal	3390
testVal	573
testVal	4280
testVal	701
testVal	385
testVal	37019
testVal	8642
testVal	162
testVal	3154
testVal	8130
testVal	154
testVal	4819
testVal	2506
testVal	10670
testVal	17955
testVal	5340
testVal	226
testVal	477
testVal	438
testVal	41643
testVal	56379
testVal	3678
testVal	2973
testVal	2027
testVal	561
testVal	1739
testVal	0
testVal	503
testVal	10154
testVal	3787
testVal	2637
testVal	756
testVal	1491
testVal	15989
testVal	1704
testVal	999
testVal	358
testVal	784
testVal	2635
testVal	6859
testVal	4864
testVal	283
testVal	5553
testVal	1281
testVal	507
testVal	2895
testVal	2826
testVal	343
testVal	442
testVal	5902
testVal	208
testVal	187
testVal	3092
testVal	1294
testVal	2280
testVal	19
testVal	14441
testVal	952
testVal	2632
testVal	133233
testVal	4032
testVal	42209
testVal	3794
testVal	0
testVal	9635
testVal	5730
testVal	1406
testVal	245
testVal	548
testVal	1797
testVal	307
testVal	78
testVal	1198
testVal	657
testVal	8230
testVal	50
testVal	3303
testVal	9487
testVal	11213
testVal	1848
testVal	538
testVal	1532
testVal	2343
testVal	20576
testVal	56189
testVal	1624
testVal	8166
testVal	18858
testVal	413
testVal	1042
testVal	272
testVal	48
testVal	12130
testVal	2051
testVal	10
testVal	894
testVal	1233
testVal	31238
testVal	1708
testVal	3643765
testVal	9667
testVal	2164
testVal	110079
testVal	2716
testVal	1055
testVal	7849
testVal	7396
testVal	247
testVal	789
testVal	7421
testVal	4108
testVal	11681
testVal	7161
testVal	391
testVal	0
testVal	61
testVal	443
testVal	377
testVal	3520
testVal	582
testVal	960
testVal	666
testVal	1449
testVal	3398
testVal	12487
testVal	6565
testVal	23331
testVal	755
testVal	217
testVal	567
testVal	3236
testVal	3542
testVal	5009
testVal	465
testVal	20144
testVal	553
testVal	71512
testVal	2642
testVal	2833
testVal	102
testVal	205
testVal	1062
testVal	144444
testVal	72
testVal	1292
testVal	33401
testVal	8494
testVal	2126
testVal	1812
testVal	820
testVal	212
testVal	0
testVal	14280
testVal	8783
testVal	6358
testVal	326
testVal	920
testVal	196078
testVal	13983
testVal	96
testVal	11767
testVal	18365
testVal	572
testVal	2241
testVal	395
testVal	20664
testVal	1893
testVal	3188
testVal	23471
testVal	978
testVal	616
testVal	144
testVal	339
testVal	7813
testVal	238
testVal	8064
testVal	65619
testVal	56243
testVal	4459
testVal	175673
testVal	3673
testVal	149
testVal	2211
testVal	19531
testVal	1354
testVal	10093
testVal	23941
testVal	899
testVal	5826
testVal	15711
testVal	2810
testVal	3220
testVal	7686
testVal	160
testVal	3879
testVal	270
testVal	128458
testVal	67
testVal	332
testVal	5284
testVal	3475
testVal	18566
testVal	507
testVal	10089
testVal	3038
testVal	2688
testVal	276
testVal	1560
testVal	8525
testVal	3028
testVal	13982
testVal	22867
testVal	994
testVal	80
testVal	3627
testVal	51671
testVal	714
testVal	4412
testVal	5360
testVal	22
testVal	26
testVal	7983
testVal	5064
testVal	166541
testVal	57779
testVal	3125
testVal	149
testVal	3810
testVal	331
testVal	30528
testVal	5122
testVal	366
testVal	12733
testVal	76
testVal	2747
testVal	559
testVal	21737
testVal	1295
testVal	20832
testVal	875
testVal	544
testVal	361
testVal	41001
testVal	5267
testVal	134
testVal	583
testVal	37487
testVal	876
testVal	21449
testVal	1673
testVal	839
testVal	300
testVal	109
testVal	98
testVal	97847
testVal	6531
testVal	1503
testVal	18
testVal	257
testVal	11201
testVal	459
testVal	20472
testVal	342
testVal	4436
testVal	14026
testVal	183
testVal	15300
